city,latitude,longitude,Country,Temperature,Humidity,Cloud Level,Wind Speed,Air Pressure,Date
Qaqortoq,60.7167,-46.0333,GL,-15.72,48.0,1.0,11.75,1004.0,1644042809.0
Labuhan,-6.8844,112.2051,ID,28.0,81.0,100.0,6.28,1006.0,1644042813.0
Pevek,69.7008,170.3133,RU,-33.14,99.0,36.0,2.38,1028.0,1644042814.0
Manzhouli,49.6,117.4333,CN,-14.52,81.0,100.0,5.43,1028.0,1644042816.0
Avarua,-21.2078,-159.775,CK,26.03,83.0,20.0,4.63,1016.0,1644042818.0
Uíge,-7.6087,15.0613,AO,20.98,82.0,18.0,0.26,1015.0,1644042819.0
Vondrozo,-22.8167,47.2833,MG,21.3,95.0,100.0,4.64,1007.0,1644042821.0
Hithadhoo,-0.6,73.0833,MV,28.06,73.0,100.0,7.04,1009.0,1644042697.0
Mataura,-46.1927,168.8643,NZ,15.27,49.0,15.0,3.06,1014.0,1644042396.0
Ostrovnoy,68.0531,39.5131,RU,-9.37,83.0,100.0,11.93,1005.0,1644042397.0
Okha,53.5739,142.9478,RU,-16.1,94.0,100.0,9.41,1004.0,1644042398.0
Ribeira Grande,38.5167,-28.7,PT,15.16,75.0,25.0,2.11,1029.0,1644042400.0
Punta Arenas,-53.15,-70.9167,CL,7.06,70.0,0.0,1.03,1015.0,1644042401.0
Albany,42.6001,-73.9662,US,-11.08,85.0,99.0,1.61,1014.0,1644042403.0
Lufilufi,-13.8745,-171.5986,WS,25.44,74.0,99.0,7.49,1011.0,1644042404.0
Ushuaia,-54.8,-68.3,AR,6.81,87.0,0.0,2.57,1012.0,1644042126.0
Santa Cruz de la Sierra,-17.8,-63.1667,BO,23.7,94.0,75.0,6.17,1008.0,1644042408.0
Rikitea,-23.1203,-134.9692,PF,25.88,72.0,10.0,2.84,1021.0,1644042410.0
Pemangkat,1.1667,108.9667,ID,27.72,80.0,92.0,5.65,1007.0,1644042411.0
Esperance,-33.8667,121.9,AU,36.91,49.0,2.0,9.03,1010.0,1644042413.0
Kiryat Gat,31.61,34.7642,IL,10.23,100.0,80.0,4.78,1020.0,1644042414.0
Leningradskiy,69.3833,178.4167,RU,-28.5,94.0,49.0,3.23,1027.0,1644042416.0
Saint-Philippe,-21.3585,55.7679,RE,30.77,89.0,100.0,11.07,1009.0,1644042417.0
Bengkulu,-3.8004,102.2655,ID,26.5,78.0,99.0,2.15,1010.0,1644042418.0
Ancud,-41.8697,-73.8203,CL,10.52,90.0,3.0,0.75,1022.0,1644042201.0
Kavieng,-2.5744,150.7967,PG,28.82,70.0,100.0,3.95,1005.0,1644042421.0
Santa Vitória do Palmar,-33.5189,-53.3681,BR,20.23,95.0,44.0,1.85,1005.0,1644042422.0
Mount Gambier,-37.8333,140.7667,AU,24.95,47.0,37.0,8.75,1018.0,1644042424.0
Muros,42.7762,-9.0603,ES,8.06,80.0,47.0,6.49,1029.0,1644042425.0
Busselton,-33.65,115.3333,AU,41.69,37.0,8.0,4.18,1006.0,1644042311.0
Vila Velha,-20.3297,-40.2925,BR,23.86,96.0,0.0,2.68,1012.0,1644042428.0
Mindelo,16.8901,-24.9804,CV,20.75,78.0,20.0,8.23,1014.0,1644042429.0
Saint-Joseph,-21.3667,55.6167,RE,30.21,83.0,100.0,9.02,1008.0,1644042431.0
Port Alfred,-33.5906,26.891,ZA,20.9,84.0,95.0,4.72,1022.0,1644042432.0
Metro,-5.1131,105.3067,ID,28.1,72.0,100.0,3.15,1009.0,1644042434.0
Laas,46.6166,10.7002,IT,-0.58,92.0,43.0,3.52,1024.0,1644042435.0
Concepción,-36.827,-73.0498,CL,13.03,87.0,48.0,2.16,1018.0,1644042420.0
Bredasdorp,-34.5322,20.0403,ZA,20.62,64.0,24.0,7.72,1020.0,1644042438.0
