city,latitude,longitude,Country,Temperature,Humidity,Cloud Level,Wind Speed,Air Pressure,Date
Tasiilaq,65.6145,-37.6368,GL,-4.91,92.0,100.0,3.41,975.0,1647457675.0
Vaini,-21.2,-175.2,TO,24.09,100.0,100.0,1.54,1013.0,1647457677.0
Rafaela,-31.2503,-61.4867,AR,29.99,31.0,0.0,2.24,1009.0,1647457503.0
Alice Springs,-23.7,133.8833,AU,26.75,32.0,41.0,2.57,1011.0,1647457680.0
Sidi Ali,36.0998,0.4206,DZ,11.14,81.0,100.0,2.87,1011.0,1647457682.0
Port Alfred,-33.5906,26.891,ZA,19.38,70.0,3.0,2.41,1021.0,1647457464.0
Cape Town,-33.9258,18.4232,ZA,18.91,72.0,0.0,7.01,1016.0,1647457590.0
tsihombe,,,,,,,,,
Mykolayivka,47.5414,30.7561,UA,-0.13,55.0,0.0,3.81,1031.0,1647457687.0
Longyearbyen,78.2186,15.6401,SJ,2.91,48.0,20.0,7.72,997.0,1647457498.0
Hamilton,39.1834,-84.5333,US,20.55,35.0,0.0,5.66,1015.0,1647457430.0
Ushuaia,-54.8,-68.3,AR,3.79,95.0,100.0,2.96,995.0,1647457692.0
Barrow,71.2906,-156.7887,US,-23.99,77.0,40.0,3.6,1015.0,1647457693.0
Muros,42.7762,-9.0603,ES,12.19,69.0,13.0,9.18,1025.0,1647457695.0
Rikitea,-23.1203,-134.9692,PF,26.55,81.0,100.0,10.65,1012.0,1647457665.0
Galanta,48.19,17.7275,SK,6.12,79.0,22.0,2.65,1027.0,1647457698.0
Bredasdorp,-34.5322,20.0403,ZA,18.46,73.0,0.0,4.57,1020.0,1647457673.0
Pevek,69.7008,170.3133,RU,-22.62,95.0,100.0,2.87,1033.0,1647457701.0
vaitupu,,,,,,,,,
Richards Bay,-28.783,32.0377,ZA,21.09,79.0,92.0,2.34,1019.0,1647457704.0
Manzanillo,20.3433,-77.1167,CU,32.91,36.0,3.0,3.28,1013.0,1647457706.0
Punta Arenas,-53.15,-70.9167,CL,7.96,81.0,75.0,4.63,993.0,1647457708.0
Katsuura,35.1333,140.3,JP,9.01,84.0,75.0,4.38,1015.0,1647457710.0
Atuona,-9.8,-139.0333,PF,25.72,75.0,14.0,6.68,1014.0,1647457712.0
Yellowknife,62.456,-114.3525,CA,-12.5,68.0,52.0,0.37,1017.0,1647457714.0
Lagoa,39.05,-27.9833,PT,14.16,65.0,100.0,7.11,1031.0,1647457715.0
Chui,-33.6971,-53.4616,UY,25.77,66.0,68.0,5.1,1013.0,1647457717.0
Plettenberg Bay,-34.0527,23.3716,ZA,16.85,85.0,0.0,1.58,1021.0,1647457719.0
Butaritari,3.0707,172.7902,KI,27.38,78.0,10.0,9.25,1009.0,1647457721.0
Ngama,11.7833,17.1667,TD,27.05,12.0,38.0,4.82,1010.0,1647457723.0
Te Anau,-45.4167,167.7167,NZ,6.67,96.0,33.0,0.61,1026.0,1647457702.0
Malakal,9.5334,31.6605,SS,29.16,13.0,48.0,3.94,1009.0,1647457726.0
Bedēsa,8.9,40.7833,ET,19.02,42.0,19.0,2.45,1014.0,1647457728.0
marcona,,,,,,,,,
Banjarmasin,-3.3244,114.591,ID,25.08,95.0,20.0,0.56,1006.0,1647457585.0
Qaanaaq,77.484,-69.3632,GL,-22.68,75.0,100.0,3.68,990.0,1647457732.0
Mar del Plata,-38.0023,-57.5575,AR,28.82,58.0,0.0,9.77,1008.0,1647457611.0
Port Elizabeth,-33.918,25.5701,ZA,16.29,87.0,0.0,1.17,1022.0,1647457447.0
samusu,,,,,,,,,
Busselton,-33.65,115.3333,AU,19.75,80.0,100.0,1.11,1017.0,1647457737.0
Charters Towers,-20.1,146.2667,AU,20.54,86.0,72.0,3.34,1011.0,1647457739.0
Leningradskiy,69.3833,178.4167,RU,-25.72,96.0,89.0,3.67,1029.0,1647457741.0
Cidreira,-30.1811,-50.2056,BR,22.62,79.0,100.0,7.24,1015.0,1647457743.0
Touros,-5.1989,-35.4608,BR,28.89,67.0,93.0,4.83,1009.0,1647457433.0
toliary,,,,,,,,,
Hobart,-42.8794,147.3294,AU,16.9,88.0,75.0,3.09,1011.0,1647457748.0
Puerto Escondido,15.85,-97.0667,MX,26.46,73.0,0.0,3.6,1014.0,1647457749.0
Saint-Pierre,-21.3393,55.4781,RE,25.95,84.0,100.0,2.57,1011.0,1647457751.0
Guiratinga,-16.3494,-53.7583,BR,27.54,72.0,100.0,2.18,1008.0,1647457753.0
Mataura,-46.1927,168.8643,NZ,6.93,99.0,88.0,1.1,1027.0,1647457755.0
Arraial do Cabo,-22.9661,-42.0278,BR,28.92,61.0,0.0,10.29,1011.0,1647457757.0
Mossamedes,-15.1961,12.1522,AO,22.4,72.0,5.0,2.9,1011.0,1647457759.0
Omsukchan,62.5333,155.8,RU,-25.61,93.0,22.0,1.49,1038.0,1647457761.0
Pandan,14.0453,124.1694,PH,25.84,89.0,74.0,2.75,1008.0,1647457763.0
Key West,24.5557,-81.7826,US,28.15,73.0,40.0,5.14,1017.0,1647457637.0
bengkalis,,,,,,,,,
New Norfolk,-42.7826,147.0587,AU,16.17,75.0,100.0,0.45,1015.0,1647457767.0
Kapaa,22.0752,-159.319,US,24.31,81.0,20.0,1.54,1021.0,1647457720.0
Albany,42.6001,-73.9662,US,12.72,54.0,28.0,0.89,1019.0,1647457729.0
Lagunas,-5.2269,-75.6753,PE,26.01,93.0,99.0,1.5,1009.0,1647457771.0
Iqaluit,63.7506,-68.5145,CA,-17.95,59.0,100.0,2.24,991.0,1647457773.0
Ribeira Grande,38.5167,-28.7,PT,15.22,67.0,75.0,7.2,1030.0,1647457775.0
Kisangani,0.5167,25.2,CD,25.73,75.0,100.0,2.21,1007.0,1647457777.0
Oga,46.4631,10.347,IT,3.31,75.0,15.0,0.87,1027.0,1647457779.0
